"Designator","Mid X","Mid Y","Layer","Rotation"
"C1","8.7630","34.6710","top","180.0000"
"C2","11.5570","43.3070","top","0.0000"
"C3","30.9880","35.9410","top","0.0000"
"C4","8.7630","36.1950","top","180.0000"
"C5","40.8940","32.1310","top","-90.0000"
"C6","36.8300","20.9550","top","180.0000"
"C7","15.4940","40.5130","top","-90.0000"
"C8","28.7020","35.9410","top","0.0000"
"C9","23.1140","31.6230","top","180.0000"
"C10","30.8370","47.3430","top","90.0000"
"C11","19.0500","31.6230","top","180.0000"
"C12","16.7640","23.7490","top","90.0000"
"C13","29.2100","44.3230","top","180.0000"
"C14","40.9220","44.3230","top","0.0000"
"C15","52.9590","31.2420","top","90.0000"
"C16","54.2290","31.2420","top","90.0000"
"C17","25.6540","25.0190","top","90.0000"
"C18","19.0500","27.0510","top","180.0000"
"C19","25.6540","31.6230","top","90.0000"
"C20","37.3380","35.9410","top","0.0000"
"C21","13.8430","50.6600","top","90.0000"
"C22","15.8750","50.6600","top","90.0000"
"C23","25.1460","34.6710","top","0.0000"
"C24","25.1460","35.9410","top","0.0000"
"C25","15.2120","47.8790","top","0.0000"
"C26","15.2120","46.3550","top","0.0000"
"C27","11.8110","36.1950","top","0.0000"
"C28","11.8110","37.4650","top","0.0000"
"C31","19.0500","25.7810","top","0.0000"
"C32","15.2120","44.8310","top","0.0000"
"C34","18.7960","15.3670","top","180.0000"
"C42","48.5010","42.0370","top","0.0000"
"C44","45.0850","51.3080","top","-90.0000"
"C45","51.1810","51.3080","top","90.0000"
"D1","8.1280","31.3690","top","-90.0000"
"D2","9.9060","31.3690","top","-90.0000"
"D3","6.3500","31.3690","top","-90.0000"
"D4","6.0960","42.5450","top","-90.0000"
"D5","2.7940","31.3690","top","-90.0000"
"D6","11.4300","49.7850","top","-90.0000"
"D7","53.5940","37.8460","top","0.0000"
"D8","4.5720","31.3690","top","-90.0000"
"D9","45.4660","37.8460","top","0.0000"
"D10","53.5940","34.0360","top","0.0000"
"D11","49.5300","37.8460","top","0.0000"
"F1","6.3500","50.1650","top","180.0000"
"J1","7.8740","12.9540","top","90.0000"
"J2","29.2154","57.7575","top","0.0000"
"J3","35.8190","6.4820","top","-90.0000"
"J4","27.5540","6.6040","top","-90.0000"
"J5","4.0640","20.1930","top","0.0000"
"L1","11.3030","34.6710","top","0.0000"
"Q2","38.7940","49.1490","top","0.0000"
"R1","14.7320","21.7170","top","0.0000"
"R2","17.0180","40.0050","top","90.0000"
"R3","14.9860","31.6230","top","0.0000"
"R4","14.9860","33.4010","top","0.0000"
"R5","20.0660","43.8150","top","180.0000"
"R6","16.1930","42.7990","top","180.0000"
"R7","11.6840","31.3690","top","-90.0000"
"R8","6.0960","35.6870","top","-90.0000"
"R9","23.1140","32.8930","top","180.0000"
"R10","7.2390","35.6870","top","-90.0000"
"R11","21.3360","32.3850","top","90.0000"
"R12","25.1460","38.7350","top","0.0000"
"R13","17.0180","27.3050","top","-90.0000"
"R14","22.3520","30.0990","top","0.0000"
"R15","19.0500","29.8450","top","0.0000"
"R16","28.7020","16.7000","top","-90.0000"
"R17","14.9860","29.8450","top","0.0000"
"R18","19.0520","28.3210","top","180.0000"
"R19","26.9240","41.0210","top","90.0000"
"R20","24.8920","41.0210","top","-90.0000"
"R21","24.0536","43.4304","top","180.0000"
"R22","22.3520","26.0350","top","0.0000"
"R23","2.5400","35.6870","top","-90.0000"
"R24","19.0500","24.0030","top","180.0000"
"R25","17.3990","36.9570","top","-90.0000"
"R26","32.3610","50.9270","top","-90.0000"
"R27","18.7610","16.7010","top","0.0000"
"R28","19.0150","19.0500","top","-90.0000"
"R29","3.6830","35.6870","top","90.0000"
"R30","30.8370","50.9270","top","-90.0000"
"R31","17.0180","19.0500","top","-90.0000"
"R32","51.4350","47.8790","top","-90.0000"
"R33","51.4350","42.5450","top","-90.0000"
"R34","28.7020","20.1930","top","-90.0000"
"R35","30.7340","16.7000","top","90.0000"
"R36","30.7340","19.9390","top","-90.0000"
"R37","53.9750","47.8790","top","-90.0000"
"R38","53.9750","42.5450","top","-90.0000"
"R39","39.6240","35.9410","top","180.0000"
"R40","39.6240","37.2110","top","180.0000"
"R41","25.1460","37.2110","top","180.0000"
"R42","19.0500","32.8930","top","180.0000"
"R43","11.5590","46.3550","top","0.0000"
"R44","11.5570","44.8310","top","0.0000"
"R45","22.3520","24.0030","top","0.0000"
"R46","28.7020","37.2110","top","0.0000"
"R47","30.9880","37.2110","top","180.0000"
"R48","48.1330","51.5620","top","0.0000"
"R49","41.9100","35.9410","top","0.0000"
"R50","41.9100","37.2110","top","0.0000"
"R51","22.3520","28.0670","top","0.0000"
"R52","32.3610","47.3730","top","-90.0000"
"R53","29.3130","47.3430","top","-90.0000"
"R54","18.2250","21.7170","top","0.0000"
"R55","4.9530","35.6870","top","-90.0000"
"R56","35.3060","13.4620","top","0.0000"
"R57","35.3060","12.1920","top","0.0000"
"R58","42.7398","32.1144","top","-90.0000"
"TP1","22.6060","11.0490","top","0.0000"
"TP2","18.0340","11.0490","top","0.0000"
"U1","20.8280","37.9730","top","90.0000"
"U2","33.2740","28.5750","top","-90.0000"
"U3","14.2240","25.7810","top","-90.0000"
"U4","22.7330","49.1490","top","0.0000"
"U5","12.5730","40.2590","top","0.0000"
"U6","14.8590","36.1950","top","0.0000"
"U7","23.8760","19.1770","top","180.0000"
"U8","47.3710","46.4820","top","90.0000"
"U9","48.2319","16.0363","top","180.0000"
"U11","45.1040","33.7820","top","-90.0000"
"U12","49.1832","33.7820","top","-90.0000"
"Y1","35.0520","40.7670","top","0.0000"
